arcog	Pathway	GeneID	Gene	COG	PFAM	CD	TIGR	NIOZ132_cc_b51_2	NIOZ134_mx_b281_2	SRR2090153_bin1042	SRR2090153_bin461	SRR2090159_bin1129	SRR2090159_bin1288	GCA_002494525	GCA_002495465	GCA_002501985	SRR4028224_bin17	SRR5007147_bin71	U_76725	NIOZ124_cc_b247_2	NIOZ125_mb_b254_2	NIOZ129_mb_b262_2	NIOZ126_mb_b401_2	NIOZ122_mb_b319_2	NIOZ134_mb_b41_2	NIOZ132_mb_b282_2	NIOZ127_mb_b161_2	NIOZ123_bs_b5_2	NIOZ121_cc_b94_2	NIOZ136_cc_b15_2	GCA_002502135	NIOZ134_mb_b293_2	NIOZ132_mb_b260_2	NIOZ126_mb_b137_2	NIOZ129_mb_b254_2	NIOZ127_mb_b282_2	NIOZ122_mb_b305_2	NIOZ136_mb_b335_2	NIOZ132_mb_b198_2	NIOZ136_mb_b104_2	NIOZ125_mb_b178_2	NIOZ121_mb_b48_2	NIOZ134_cc_b149_2	NIOZ134_mb_b361_2	NIOZ136_mb_b226_2	NIOZ123_bs_b392_2	NIOZ124_mb_b130_2	NIOZ132_cc_b149_2	NIOZ125_cc_b75_2	NIOZ132_mx_b314_2	NIOZ120_mb_b229_2	NIOZ126_mb_b304_2	NIOZ119_mb_b5_2
11	arCOG00037	J	-	"Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain"	COG02117				0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1
12	arCOG00038	J	ThiI	tRNA S(4)U 4-thiouridine synthase	COG00301	"pfam02926,pfam02568,pfam00581"	"cd11716,cd01712,cd00158"	"TIGR00342,TIGR04271"	2	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2
13	arCOG00039	J	QueC	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	COG00603	pfam06508	cd01995	TIGR00364	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	arCOG00040	H	Hpt1	Hypoxanthine phosphoribosyltransferase	COG02236	pfam00156	cd06223	TIGR01251	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0
15	arCOG00041	R	-	Predicted phosphoribosyltransferase	COG01926				0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	arCOG00042	J	TilS	tRNA(Ile)-lysidine synthase TilS/MesJ	COG00037	pfam01171	cd01993	TIGR02432	1	2	1	0	1	0	1	1	1	1	1	0	0	1	1	2	1	1	2	0	1	0	0	2	0	1	1	1	0	0	1	1	1	1	0	0	1	2	1	1	1	0	1	0	0	1
17	arCOG00047	J	Trm11	tRNA G10  N-methylase Trm11	COG01041	pfam01170		TIGR01177	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
18	arCOG00050	E	SpeE	Spermidine synthase	COG00421	pfam01564	cd02440	TIGR00417	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	arCOG00052	G	Pgi	Glucose-6-phosphate isomerase	COG00166	"pfam01380,pfam10432"	"cd05017,cd05637"	TIGR02128	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	arCOG00057	M	GlmS	Glucosamine 6-phosphate synthetase	COG00449	"pfam00310,pfam01380,pfam01380"	"cd00714,cd05008,cd05009"	TIGR01135	1	0	1	0	1	1	1	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0
21	arCOG00062	O	Nit1	Deaminated glutathione amidase	COG00388	pfam00795	cd07197	TIGR03381	2	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	arCOG00063	F	PyrG	CTP synthase (UTP-ammonia lyase)	COG00504	"pfam06418,pfam00117"	"cd03113,cd01746"	TIGR00337	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1
23	arCOG00064	E	CarA	Carbamoylphosphate synthase small subunit	COG00505	"pfam00988,pfam00117"	cd01744	TIGR01368	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
24	arCOG00065	O	csdA	Selenocysteine lyase/Cysteine desulfurase	COG00520	pfam00266	cd06453	TIGR01979	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1
25	arCOG00066	E	NifS/DndA	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme	COG01104	pfam00266	cd06453	TIGR03402	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1
26	arCOG00067	F	PrsA	Phosphoribosylpyrophosphate synthetase	COG00462	"pfam13793,pfam00156"	cd06223	TIGR01251	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	1	3	3	2	2	1	2	0	1	1	2	4	1	2	2	2	1	2	0	0	0
27	arCOG00069	H	NadE	NH3-dependent NAD+ synthetase	COG00171	pfam02540	cd00553	TIGR00552	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	arCOG00070	E	GlyA	Glycine/serine hydroxymethyltransferase	COG00112	pfam00464	cd00378		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0
29	arCOG00071	E	AsnB	Asparagine synthase (glutamine-hydrolyzing)	COG00367	pfam00733	cd01991	TIGR01536	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	arCOG00073	E	CysH/DndC	PAPS reductase related enzyme  fused to RNA-binding PUA domain and ferredoxin domain	COG00175	pfam01507	cd01713	TIGR00434	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	arCOG00076	E	GcvP	"Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain"	COG01003	pfam02347	cd00613	TIGR00461	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	arCOG00077	E	GcvP	"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain"	COG00403	pfam02347	cd00613	TIGR00461	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	arCOG00078	J	NOP1	Fibrillarin-like rRNA methylase	COG01889	pfam01269			0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1
34	arCOG00080	J	YqxC	"Predicted rRNA methylase YqxC, contains S4 and FtsJ domains"	COG01189	"pfam01479,pfam13847"	"cd00165,cd02440"	TIGR00478	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	arCOG00081	F	PyrF	Orotidine-5'-phosphate decarboxylase	COG00284	pfam00215	cd04725	TIGR01740	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
36	arCOG00082	EF	PucG	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	COG00075	pfam00266	cd06451	TIGR03301	0	1	0	0	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	2	0	1	1
37	arCOG00086	E	TrpG	Anthranilate/para-aminobenzoate synthase component II	COG00512	pfam00117	cd01743	TIGR00566	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
38	arCOG00087	F	GuaA	GMP synthase - Glutamine amidotransferase domain	COG00518	pfam00117	cd01742	TIGR00888	3	2	0	0	2	3	0	0	0	0	0	0	2	2	2	1	0	1	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
39	arCOG00089	E	HisH	Glutamine amidotransferase	COG00118	pfam00117	cd01748	TIGR01855	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0
40	arCOG00090	F	GuaA	GMP synthase - Glutamine amidotransferase domain	COG00518	pfam00117	cd01741	TIGR00888	0	0	0	0	1	0	0	1	0	2	2	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1
41	arCOG00093	F	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	COG00034	"pfam00310,pfam00156"	"cd00715,cd06223"	TIGR01134	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
42	arCOG00094	F	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	COG00034	pfam00156	"cd00715,cd06223"	TIGR01134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
43	arCOG00097	C	FwdC	Formylmethanofuran dehydrogenase subunit C	COG02218	pfam01493	cd00980	TIGR03122	0	0	0	0	0	0	2	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	arCOG00102	F	PurL	"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"	COG00047	pfam13507	cd01740	TIGR01737	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
45	arCOG00108	L	Mod	Adenine specific DNA methylase Mod	COG02189	pfam01555			0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	arCOG00109	J	HemK	Methylase of polypeptide chain release factors	COG02890	pfam13659	cd02440	TIGR00537	1	0	0	1	1	2	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	1	2	2	1	2	2	1	1	1	1	0
47	arCOG00110	J	RsmC	16S RNA G1207 methylase RsmC	COG02813	pfam05175	cd02440	TIGR03534	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	2	3	1	2	2	1	2	1	3	2	1	1	1	1	2	1	1	1	0	0
48	arCOG00112	E	ArgG	Argininosuccinate synthase	COG00137	pfam00764	cd01999	TIGR00032	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1
49	arCOG00113	H	BioF	7-keto-8-aminopelargonate synthetase or related enzyme	COG00156	pfam00155	cd06454	TIGR01825	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	arCOG00115	L	-	DNA modification methylase	COG00863	pfam01555			0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	arCOG00118	M	WecE	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis	COG00399	pfam01041	cd00616	TIGR03588	3	11	2	4	2	3	1	2	1	1	1	1	2	1	0	2	1	1	0	1	2	0	0	1	0	1	1	1	1	3	2	1	1	2	1	0	1	2	1	1	0	1	2	1	0	1
52	arCOG00121	E	AsnB	Asparagine synthase (glutamine-hydrolyzing)	COG00367	pfam00733			1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	arCOG00129	L	-	DNA modification methylase	COG00863	"pfam01555,pfam01555"		TIGR01177	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	arCOG00130	G	-	MFS family permease	COG00477	pfam07690	cd06174		1	2	2	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	2	3	3	3	3	5	3	3	3	2	0	3	3	3	4	0	2	1	2	2	3
55	arCOG00132	G	-	MFS family permease	COG00477	pfam07690	cd06174		1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	2	2	1	2	0	2	2	1	1	1	1	2	1	1	1	1	0	1	2	1	0	2	1	0	1	2	1
56	arCOG00164	O	CysU	"ABC-type sulfate transport system, permease component"	COG00555		cd06261	TIGR02141	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
57	arCOG00169	P	TauC	"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"	COG00600				0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	arCOG00173	P	PhnE	"ABC-type phosphate/phosphonate transport system, permease component"	COG03639	pfam00528	cd06261	TIGR01097	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	arCOG00177	E	PotA	"ABC-type spermidine/putrescine transport system, ATPase component"	COG03842	pfam00005	cd03301	TIGR03265	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0
60	arCOG00181	E	DppD	"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"	COG00444	pfam00005	cd03257	TIGR02770	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	arCOG00184	E	AppF	"ABC-type oligopeptide transport system, ATPase component"	COG04608	pfam00005	cd03257	TIGR02769	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	arCOG00186	R	-	"ABC-type uncharacterized transport system, ATPase component"	COG03845	"pfam00005,pfam00005"	"cd03216,cd03216"	TIGR02633	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	arCOG00187	J	Rli1	"Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains"	COG01245	"pfam00005,pfam00005"	"cd03237,cd03237"	TIGR03269	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	0	1
64	arCOG00189	V	CcmA	"ABC-type multidrug transport system, ATPase component"	COG01131	pfam00005	cd03225	TIGR01189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0
65	arCOG00193	P	TauB	"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"	COG01116	pfam00005	cd03293	TIGR01184	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	arCOG00194	V	CcmA	"ABC-type multidrug transport system, ATPase component"	COG01131	pfam00005	cd03230	TIGR01188	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	arCOG00196	V	CcmA	"ABC-type multidrug transport system, ATPase component"	COG01131	pfam00005	cd03230	TIGR03740	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	arCOG00203	P	EcfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	COG01122		cd03225	TIGR01166	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	arCOG00206	P	PhnC	"ABC-type phosphate/phosphonate transport system, ATPase component"	COG03638	pfam00005	cd03256	TIGR02315	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	arCOG00210	G	TagH	"ABC-type polysaccharide/polyol phosphate transport system, ATPase component"	COG01134	pfam00005	cd03220	TIGR01188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
71	arCOG00219	P	ModA	"ABC-type molybdate transport system, periplasmic component"	COG00725	pfam13531	cd13540	TIGR03730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
72	arCOG00223	K	ModE	N-terminal domain of molybdenum-binding protein	COG02005			TIGR00637	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	arCOG00227	P	AfuA	"ABC-type Fe3+ transport system, periplasmic component"	COG01840	pfam13343	cd13543	TIGR03261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	arCOG00232	P	PhoU	Phosphate uptake regulator	COG00704			TIGR02135	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	arCOG00237	P	CitT	Di- and tricarboxylate transporter	COG00471		cd01115	TIGR00785	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	arCOG00238	P	ArsB	Na+/H+ antiporter NhaD or related arsenite permease	COG01055	pfam03600	cd01117	TIGR00785	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	arCOG00245	E	TyrA	Prephenate dehydrogenase	COG00287	"pfam01817,pfam02153"	cd01065	"TIGR01791,TIGR00507"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0
78	arCOG00246	C	Mdh	Malate/lactate dehydrogenase	COG00039	"pfam00056,pfam02866"	cd00300	TIGR01771	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
79	arCOG00248	G	Gnd	Predicted 6-phosphogluconate dehydrogenase	COG01023	"pfam03446,pfam00393"		TIGR00872	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	arCOG00252	M	WecC	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	COG00677	"pfam03721,pfam00984,pfam03720"	cd05266	TIGR03026	2	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	0	1	2	1	0
81	arCOG00253	M	AglM/Ugd	UDP-glucose 6-dehydrogenase	COG01004	"pfam03721,pfam00984,pfam03720"		TIGR03026	0	2	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0
82	arCOG00263	G	AraH	"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component"	COG01172	pfam02653	cd06579		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
