SampleID	Nutrient	Condition	Timepoint	Rootlength
44	noP_MgCl_t0	noP	MgCl	t0	1.72
45	noP_MgCl_t0	noP	MgCl	t0	1.609
46	noP_MgCl_t0	noP	MgCl	t0	1.439
47	noP_MgCl_t0	noP	MgCl	t0	1.679
48	noP_MgCl_t0	noP	MgCl	t0	1.333
49	noP_MgCl_t0	noP	MgCl	t0	1.77
50	noP_MgCl_t0	noP	MgCl	t0	1.74
51	noP_MgCl_t0	noP	MgCl	t0	1.834
52	noP_MgCl_t0	noP	MgCl	t0	1.663
53	noP_MgCl_t0	noP	MgCl	t0	1.83
54	noP_MgCl_t0	noP	MgCl	t0	1.925
55	noP_MgCl_t0	noP	MgCl	t0	1.735
56	noP_MgCl_t0	noP	MgCl	t0	1.422
57	noP_MgCl_t0	noP	MgCl	t0	1.862
58	noP_MgCl_t0	noP	MgCl	t0	1.845
59	noP_MgCl_t0	noP	MgCl	t0	1.711
60	noP_MgCl_t0	noP	MgCl	t0	1.469
61	P_350_t0	P	350	t0	1.124
62	P_350_t0	P	350	t0	1.606
63	P_350_t0	P	350	t0	1.519
64	P_350_t0	P	350	t0	1.253
65	P_350_t0	P	350	t0	1.19
66	P_350_t0	P	350	t0	2.053
67	P_350_t0	P	350	t0	1.677
68	P_350_t0	P	350	t0	1.505
69	P_350_t0	P	350	t0	1.178
70	P_350_t0	P	350	t0	1.873
71	P_350_t0	P	350	t0	1.453
72	P_350_t0	P	350	t0	1.523
73	P_350_t0	P	350	t0	1.803
74	P_350_t0	P	350	t0	1.465
75	P_350_t0	P	350	t0	1.59
76	P_350_t0	P	350	t0	1.471
77	P_350_t0	P	350	t0	1.614
78	P_350_t0	P	350	t0	1.727
79	P_350_t0	P	350	t0	1.47
80	P_350_t0	P	350	t0	1.708
81	P_350_t0	P	350	t0	1.709
82	P_350_t0	P	350	t0	1.387
83	P_350_t0	P	350	t0	1.639
84	P_350_t0	P	350	t0	1.825
85	P_350_t0	P	350	t0	1.277
86	P_350_t0	P	350	t0	1.054
87	P_350_t0	P	350	t0	1.876
88	P_350_t0	P	350	t0	1.246
89	P_350_t0	P	350	t0	1.617
90	P_350_t0	P	350	t0	1.214
91	noP_350_t0	noP	350	t0	1.754
92	noP_350_t0	noP	350	t0	1.997
93	noP_350_t0	noP	350	t0	1.678
94	noP_350_t0	noP	350	t0	1.412
95	noP_350_t0	noP	350	t0	1.15
96	noP_350_t0	noP	350	t0	1.257
97	noP_350_t0	noP	350	t0	1.517
98	noP_350_t0	noP	350	t0	1.491
99	noP_350_t0	noP	350	t0	1.299
100	noP_350_t0	noP	350	t0	1.512
101	noP_350_t0	noP	350	t0	1.752
102	noP_350_t0	noP	350	t0	1.376
103	noP_350_t0	noP	350	t0	2.107
104	noP_350_t0	noP	350	t0	1.492
105	noP_350_t0	noP	350	t0	1.582
106	noP_350_t0	noP	350	t0	1.552
107	noP_350_t0	noP	350	t0	1.579
108	noP_350_t0	noP	350	t0	1.366
109	noP_350_t0	noP	350	t0	1.807
110	noP_350_t0	noP	350	t0	1.497
111	noP_350_t0	noP	350	t0	1.348
112	noP_350_t0	noP	350	t0	1.438
113	noP_350_t0	noP	350	t0	1.453
114	noP_350_t0	noP	350	t0	1.42
115	noP_350_t0	noP	350	t0	1.141
116	noP_350_t0	noP	350	t0	1.719
117	noP_350_t0	noP	350	t0	1.751
118	noP_350_t0	noP	350	t0	1.119
119	noP_350_t0	noP	350	t0	1.777
120	noP_350_t0	noP	350	t0	1.651
121	P_MgCl_t1	P	MgCl	t1	2.52
122	P_MgCl_t1	P	MgCl	t1	2.892
123	P_MgCl_t1	P	MgCl	t1	2.457
124	P_MgCl_t1	P	MgCl	t1	2.426
125	P_MgCl_t1	P	MgCl	t1	2.226
126	P_MgCl_t1	P	MgCl	t1	2.203
127	P_MgCl_t1	P	MgCl	t1	2.055
128	P_MgCl_t1	P	MgCl	t1	2.889
129	P_MgCl_t1	P	MgCl	t1	3.253
130	P_MgCl_t1	P	MgCl	t1	2.437
131	P_MgCl_t1	P	MgCl	t1	2.283
132	P_MgCl_t1	P	MgCl	t1	2.038
133	P_MgCl_t1	P	MgCl	t1	1.572
134	P_MgCl_t1	P	MgCl	t1	1.636
135	P_MgCl_t1	P	MgCl	t1	2.611
136	P_MgCl_t1	P	MgCl	t1	1.983
137	P_MgCl_t1	P	MgCl	t1	1.808
138	P_MgCl_t1	P	MgCl	t1	2.549
139	P_MgCl_t1	P	MgCl	t1	1.957
140	P_MgCl_t1	P	MgCl	t1	2.211
141	P_MgCl_t1	P	MgCl	t1	2.885
142	P_MgCl_t1	P	MgCl	t1	2.22
143	P_MgCl_t1	P	MgCl	t1	2.548
144	P_MgCl_t1	P	MgCl	t1	2.622
145	P_MgCl_t1	P	MgCl	t1	2.202
146	P_MgCl_t1	P	MgCl	t1	1.551
147	P_MgCl_t1	P	MgCl	t1	2.605
148	P_MgCl_t1	P	MgCl	t1	2.321
149	P_MgCl_t1	P	MgCl	t1	2.45
150	P_MgCl_t1	P	MgCl	t1	1.974
151	noP_MgCl_t1	noP	MgCl	t1	2.759
152	noP_MgCl_t1	noP	MgCl	t1	2.474
153	noP_MgCl_t1	noP	MgCl	t1	1.696
154	noP_MgCl_t1	noP	MgCl	t1	2.341
155	noP_MgCl_t1	noP	MgCl	t1	1.834
156	noP_MgCl_t1	noP	MgCl	t1	1.409
157	noP_MgCl_t1	noP	MgCl	t1	2.671
158	noP_MgCl_t1	noP	MgCl	t1	2.85
159	noP_MgCl_t1	noP	MgCl	t1	1.684
160	noP_MgCl_t1	noP	MgCl	t1	2.437
161	noP_MgCl_t1	noP	MgCl	t1	1.675
162	noP_MgCl_t1	noP	MgCl	t1	1.686
163	noP_MgCl_t1	noP	MgCl	t1	1.87
164	noP_MgCl_t1	noP	MgCl	t1	2.121
165	noP_MgCl_t1	noP	MgCl	t1	2.503
166	noP_MgCl_t1	noP	MgCl	t1	2.001
167	noP_MgCl_t1	noP	MgCl	t1	2.352
168	noP_MgCl_t1	noP	MgCl	t1	2.877
169	noP_MgCl_t1	noP	MgCl	t1	1.813
170	noP_MgCl_t1	noP	MgCl	t1	1.996
171	noP_MgCl_t1	noP	MgCl	t1	2.619
172	noP_MgCl_t1	noP	MgCl	t1	2.414
173	noP_MgCl_t1	noP	MgCl	t1	1.522
174	noP_MgCl_t1	noP	MgCl	t1	1.802
175	noP_MgCl_t1	noP	MgCl	t1	2.442
176	noP_MgCl_t1	noP	MgCl	t1	2.337
177	noP_MgCl_t1	noP	MgCl	t1	1.88
178	noP_MgCl_t1	noP	MgCl	t1	2.012
179	noP_MgCl_t1	noP	MgCl	t1	1.808
180	noP_MgCl_t1	noP	MgCl	t1	1.84
181	P_350_t1	P	350	t1	3.42
182	P_350_t1	P	350	t1	1.881
183	P_350_t1	P	350	t1	1.802
184	P_350_t1	P	350	t1	2.013
185	P_350_t1	P	350	t1	2.196
186	P_350_t1	P	350	t1	2.976
187	P_350_t1	P	350	t1	2.617
188	P_350_t1	P	350	t1	2.737
189	P_350_t1	P	350	t1	2.034
190	P_350_t1	P	350	t1	2.27
191	P_350_t1	P	350	t1	1.611
192	P_350_t1	P	350	t1	2.35
193	P_350_t1	P	350	t1	2.97
194	P_350_t1	P	350	t1	2.856
195	P_350_t1	P	350	t1	3.054
196	P_350_t1	P	350	t1	2.283
197	P_350_t1	P	350	t1	2.695
198	P_350_t1	P	350	t1	3.417
199	P_350_t1	P	350	t1	3.006
200	P_350_t1	P	350	t1	2.049
201	P_350_t1	P	350	t1	2.108
202	P_350_t1	P	350	t1	1.423
203	P_350_t1	P	350	t1	2.223
204	P_350_t1	P	350	t1	1.875
205	P_350_t1	P	350	t1	2.284
206	P_350_t1	P	350	t1	2.212
207	P_350_t1	P	350	t1	1.86
208	P_350_t1	P	350	t1	1.589
209	P_350_t1	P	350	t1	1.141
210	P_350_t1	P	350	t1	2.898
211	noP_350_t1	noP	350	t1	2.116
212	noP_350_t1	noP	350	t1	2.069
213	noP_350_t1	noP	350	t1	2.277
214	noP_350_t1	noP	350	t1	2.019
215	noP_350_t1	noP	350	t1	2.397
216	noP_350_t1	noP	350	t1	2.279
217	noP_350_t1	noP	350	t1	2.087
218	noP_350_t1	noP	350	t1	2.173
219	noP_350_t1	noP	350	t1	1.44
220	noP_350_t1	noP	350	t1	2.094
221	noP_350_t1	noP	350	t1	1.724
222	noP_350_t1	noP	350	t1	1.788
223	noP_350_t1	noP	350	t1	2.176
224	noP_350_t1	noP	350	t1	1.397
225	noP_350_t1	noP	350	t1	1.863
226	noP_350_t1	noP	350	t1	1.925
227	noP_350_t1	noP	350	t1	2.726
228	noP_350_t1	noP	350	t1	2.474
229	noP_350_t1	noP	350	t1	1.842
230	noP_350_t1	noP	350	t1	2.137
231	noP_350_t1	noP	350	t1	2.253
232	noP_350_t1	noP	350	t1	1.618
233	noP_350_t1	noP	350	t1	NA
234	noP_350_t1	noP	350	t1	NA
235	noP_350_t1	noP	350	t1	NA
236	noP_350_t1	noP	350	t1	NA
237	noP_350_t1	noP	350	t1	NA
238	noP_350_t1	noP	350	t1	NA
239	noP_350_t1	noP	350	t1	NA
240	noP_350_t1	noP	350	t1	NA
241	P_MgCl_t2	P	MgCl	t2	3.847
242	P_MgCl_t2	P	MgCl	t2	4.412
243	P_MgCl_t2	P	MgCl	t2	3.116
244	P_MgCl_t2	P	MgCl	t2	2.403
245	P_MgCl_t2	P	MgCl	t2	2.213
246	P_MgCl_t2	P	MgCl	t2	3.48
247	P_MgCl_t2	P	MgCl	t2	4.014
248	P_MgCl_t2	P	MgCl	t2	3.007
249	P_MgCl_t2	P	MgCl	t2	3.26
250	P_MgCl_t2	P	MgCl	t2	2.797
251	P_MgCl_t2	P	MgCl	t2	3.64
252	P_MgCl_t2	P	MgCl	t2	2.268
253	P_MgCl_t2	P	MgCl	t2	3.587
254	P_MgCl_t2	P	MgCl	t2	2.642
255	P_MgCl_t2	P	MgCl	t2	3.277
256	P_MgCl_t2	P	MgCl	t2	3.629
257	P_MgCl_t2	P	MgCl	t2	4.342
258	P_MgCl_t2	P	MgCl	t2	3.037
259	P_MgCl_t2	P	MgCl	t2	3.218
260	P_MgCl_t2	P	MgCl	t2	3.886
261	P_MgCl_t2	P	MgCl	t2	4.082
262	P_MgCl_t2	P	MgCl	t2	2.9
263	P_MgCl_t2	P	MgCl	t2	3.861
264	P_MgCl_t2	P	MgCl	t2	4.215
265	P_MgCl_t2	P	MgCl	t2	4.702
266	P_MgCl_t2	P	MgCl	t2	4.178
267	P_MgCl_t2	P	MgCl	t2	3.433
268	P_MgCl_t2	P	MgCl	t2	NA
269	P_MgCl_t2	P	MgCl	t2	NA
270	P_MgCl_t2	P	MgCl	t2	NA
271	noP_MgCl_t2	noP	MgCl	t2	2.245
272	noP_MgCl_t2	noP	MgCl	t2	2.917
273	noP_MgCl_t2	noP	MgCl	t2	3.507
274	noP_MgCl_t2	noP	MgCl	t2	2.357
275	noP_MgCl_t2	noP	MgCl	t2	3.784
276	noP_MgCl_t2	noP	MgCl	t2	2.015
277	noP_MgCl_t2	noP	MgCl	t2	2.432
278	noP_MgCl_t2	noP	MgCl	t2	3.629
279	noP_MgCl_t2	noP	MgCl	t2	3.804
280	noP_MgCl_t2	noP	MgCl	t2	2.243
281	noP_MgCl_t2	noP	MgCl	t2	3.877
282	noP_MgCl_t2	noP	MgCl	t2	4.061
283	noP_MgCl_t2	noP	MgCl	t2	4.216
284	noP_MgCl_t2	noP	MgCl	t2	4.394
285	noP_MgCl_t2	noP	MgCl	t2	3.958
286	noP_MgCl_t2	noP	MgCl	t2	3.958
287	noP_MgCl_t2	noP	MgCl	t2	3.704
288	noP_MgCl_t2	noP	MgCl	t2	3.414
289	noP_MgCl_t2	noP	MgCl	t2	3.452
290	noP_MgCl_t2	noP	MgCl	t2	3.634
291	noP_MgCl_t2	noP	MgCl	t2	3.437
292	noP_MgCl_t2	noP	MgCl	t2	2.952
293	noP_MgCl_t2	noP	MgCl	t2	3.186
294	noP_MgCl_t2	noP	MgCl	t2	2.347
295	noP_MgCl_t2	noP	MgCl	t2	4.029
296	noP_MgCl_t2	noP	MgCl	t2	4.285
297	noP_MgCl_t2	noP	MgCl	t2	3.604
298	noP_MgCl_t2	noP	MgCl	t2	3.694
299	noP_MgCl_t2	noP	MgCl	t2	3.588
300	noP_MgCl_t2	noP	MgCl	t2	2.461
301	P_350_t2	P	350	t2	3.315
302	P_350_t2	P	350	t2	4.109
303	P_350_t2	P	350	t2	4.485
304	P_350_t2	P	350	t2	2.718
305	P_350_t2	P	350	t2	3.96
306	P_350_t2	P	350	t2	4.569
307	P_350_t2	P	350	t2	4.73
308	P_350_t2	P	350	t2	4.423
309	P_350_t2	P	350	t2	3.781
310	P_350_t2	P	350	t2	3.141
311	P_350_t2	P	350	t2	3.044
312	P_350_t2	P	350	t2	3.51
313	P_350_t2	P	350	t2	4.317
314	P_350_t2	P	350	t2	3.315
315	P_350_t2	P	350	t2	4.804
316	P_350_t2	P	350	t2	3.112
317	P_350_t2	P	350	t2	4.236
318	P_350_t2	P	350	t2	2.62
319	P_350_t2	P	350	t2	3.02
320	P_350_t2	P	350	t2	4.574
321	P_350_t2	P	350	t2	5.429
322	P_350_t2	P	350	t2	5.429
323	P_350_t2	P	350	t2	3.921
324	P_350_t2	P	350	t2	3.268
325	P_350_t2	P	350	t2	3.409
326	P_350_t2	P	350	t2	3.771
327	P_350_t2	P	350	t2	3.942
328	P_350_t2	P	350	t2	2.5
329	P_350_t2	P	350	t2	4.243
330	P_350_t2	P	350	t2	NA
331	noP_350_t2	noP	350	t2	2.782
332	noP_350_t2	noP	350	t2	3.398
333	noP_350_t2	noP	350	t2	2.227
334	noP_350_t2	noP	350	t2	3.454
335	noP_350_t2	noP	350	t2	2.305
336	noP_350_t2	noP	350	t2	2.631
337	noP_350_t2	noP	350	t2	3.08
338	noP_350_t2	noP	350	t2	2.979
339	noP_350_t2	noP	350	t2	4.051
340	noP_350_t2	noP	350	t2	2.612
341	noP_350_t2	noP	350	t2	3.232
342	noP_350_t2	noP	350	t2	3.695
343	noP_350_t2	noP	350	t2	4.08
344	noP_350_t2	noP	350	t2	2.653
345	noP_350_t2	noP	350	t2	3.695
346	noP_350_t2	noP	350	t2	3.718
347	noP_350_t2	noP	350	t2	2.042
348	noP_350_t2	noP	350	t2	4.527
349	noP_350_t2	noP	350	t2	4.242
350	noP_350_t2	noP	350	t2	3.427
351	noP_350_t2	noP	350	t2	2.43
352	noP_350_t2	noP	350	t2	3.517
353	noP_350_t2	noP	350	t2	2.995
354	noP_350_t2	noP	350	t2	3.868
355	noP_350_t2	noP	350	t2	2.892
356	noP_350_t2	noP	350	t2	4.28
357	noP_350_t2	noP	350	t2	4.352
358	noP_350_t2	noP	350	t2	2.295
359	noP_350_t2	noP	350	t2	3.263
360	noP_350_t2	noP	350	t2	NA
361	P_MgCl_t3	P	MgCl	t3	5.126
362	P_MgCl_t3	P	MgCl	t3	4.331
363	P_MgCl_t3	P	MgCl	t3	5.302
364	P_MgCl_t3	P	MgCl	t3	6.897
365	P_MgCl_t3	P	MgCl	t3	6.372
366	P_MgCl_t3	P	MgCl	t3	5.875
367	P_MgCl_t3	P	MgCl	t3	7.155
368	P_MgCl_t3	P	MgCl	t3	6.974
369	P_MgCl_t3	P	MgCl	t3	5.914
370	P_MgCl_t3	P	MgCl	t3	6.464
371	P_MgCl_t3	P	MgCl	t3	5.608
372	P_MgCl_t3	P	MgCl	t3	6.232
373	P_MgCl_t3	P	MgCl	t3	3.467
374	P_MgCl_t3	P	MgCl	t3	NA
375	P_MgCl_t3	P	MgCl	t3	NA
376	P_MgCl_t3	P	MgCl	t3	NA
377	P_MgCl_t3	P	MgCl	t3	NA
378	P_MgCl_t3	P	MgCl	t3	NA
379	P_MgCl_t3	P	MgCl	t3	NA
380	P_MgCl_t3	P	MgCl	t3	NA
381	P_MgCl_t3	P	MgCl	t3	NA
382	P_MgCl_t3	P	MgCl	t3	NA
383	P_MgCl_t3	P	MgCl	t3	NA
384	P_MgCl_t3	P	MgCl	t3	NA
385	P_MgCl_t3	P	MgCl	t3	NA
386	P_MgCl_t3	P	MgCl	t3	NA
387	P_MgCl_t3	P	MgCl	t3	NA
388	P_MgCl_t3	P	MgCl	t3	NA
389	P_MgCl_t3	P	MgCl	t3	NA
390	P_MgCl_t3	P	MgCl	t3	NA
391	noP_MgCl_t3	noP	MgCl	t3	3.485
392	noP_MgCl_t3	noP	MgCl	t3	3.235
393	noP_MgCl_t3	noP	MgCl	t3	4.622
394	noP_MgCl_t3	noP	MgCl	t3	2.487
395	noP_MgCl_t3	noP	MgCl	t3	4.42
396	noP_MgCl_t3	noP	MgCl	t3	4.48
397	noP_MgCl_t3	noP	MgCl	t3	2.832
398	noP_MgCl_t3	noP	MgCl	t3	4.318
399	noP_MgCl_t3	noP	MgCl	t3	4.651
400	noP_MgCl_t3	noP	MgCl	t3	3.46
401	noP_MgCl_t3	noP	MgCl	t3	5.41
402	noP_MgCl_t3	noP	MgCl	t3	NA
403	noP_MgCl_t3	noP	MgCl	t3	NA
404	noP_MgCl_t3	noP	MgCl	t3	NA
405	noP_MgCl_t3	noP	MgCl	t3	NA
406	noP_MgCl_t3	noP	MgCl	t3	NA
407	noP_MgCl_t3	noP	MgCl	t3	NA
408	noP_MgCl_t3	noP	MgCl	t3	NA
409	noP_MgCl_t3	noP	MgCl	t3	NA
410	noP_MgCl_t3	noP	MgCl	t3	NA
411	noP_MgCl_t3	noP	MgCl	t3	NA
412	noP_MgCl_t3	noP	MgCl	t3	NA
413	noP_MgCl_t3	noP	MgCl	t3	NA
414	noP_MgCl_t3	noP	MgCl	t3	NA
415	noP_MgCl_t3	noP	MgCl	t3	NA
416	noP_MgCl_t3	noP	MgCl	t3	NA
417	noP_MgCl_t3	noP	MgCl	t3	NA
418	noP_MgCl_t3	noP	MgCl	t3	NA
419	noP_MgCl_t3	noP	MgCl	t3	NA
420	noP_MgCl_t3	noP	MgCl	t3	NA
421	P_350_t3	P	350	t3	3.705
422	P_350_t3	P	350	t3	3.466
423	P_350_t3	P	350	t3	6.598
424	P_350_t3	P	350	t3	6.16
425	P_350_t3	P	350	t3	6
426	P_350_t3	P	350	t3	6.092
427	P_350_t3	P	350	t3	6.057
428	P_350_t3	P	350	t3	7.018
429	P_350_t3	P	350	t3	6.48
430	P_350_t3	P	350	t3	6.369
431	P_350_t3	P	350	t3	6.119
432	P_350_t3	P	350	t3	5.733
433	P_350_t3	P	350	t3	6.213
434	P_350_t3	P	350	t3	5.65
435	P_350_t3	P	350	t3	6.322
436	P_350_t3	P	350	t3	6.57
437	P_350_t3	P	350	t3	4.98
438	P_350_t3	P	350	t3	3.664
439	P_350_t3	P	350	t3	4.473
440	P_350_t3	P	350	t3	5.995
441	P_350_t3	P	350	t3	6.055
442	P_350_t3	P	350	t3	5.717
443	P_350_t3	P	350	t3	6.073
444	P_350_t3	P	350	t3	NA
445	P_350_t3	P	350	t3	NA
446	P_350_t3	P	350	t3	NA
447	P_350_t3	P	350	t3	NA
448	P_350_t3	P	350	t3	NA
449	P_350_t3	P	350	t3	NA
450	P_350_t3	P	350	t3	NA
451	noP_350_t3	noP	350	t3	5.488
452	noP_350_t3	noP	350	t3	3.907
453	noP_350_t3	noP	350	t3	5.026
454	noP_350_t3	noP	350	t3	5.076
455	noP_350_t3	noP	350	t3	5.12
456	noP_350_t3	noP	350	t3	4.48
457	noP_350_t3	noP	350	t3	4.463
458	noP_350_t3	noP	350	t3	4.983
459	noP_350_t3	noP	350	t3	3.026
460	noP_350_t3	noP	350	t3	5.438
461	noP_350_t3	noP	350	t3	2.939
462	noP_350_t3	noP	350	t3	4.854
463	noP_350_t3	noP	350	t3	6.406
464	noP_350_t3	noP	350	t3	5.11
465	noP_350_t3	noP	350	t3	5.39
466	noP_350_t3	noP	350	t3	4.487
467	noP_350_t3	noP	350	t3	4.832
468	noP_350_t3	noP	350	t3	5.88
469	noP_350_t3	noP	350	t3	6.833
470	noP_350_t3	noP	350	t3	6.986
471	noP_350_t3	noP	350	t3	5.81
472	noP_350_t3	noP	350	t3	5.927
473	noP_350_t3	noP	350	t3	5.332
474	noP_350_t3	noP	350	t3	5.086
475	noP_350_t3	noP	350	t3	NA
476	noP_350_t3	noP	350	t3	NA
477	noP_350_t3	noP	350	t3	NA
478	noP_350_t3	noP	350	t3	NA
479	noP_350_t3	noP	350	t3	NA
480	noP_350_t3	noP	350	t3	NA
481	P_MgCl_t4	P	MgCl	t4	6.799
482	P_MgCl_t4	P	MgCl	t4	8.322
483	P_MgCl_t4	P	MgCl	t4	5.396
484	P_MgCl_t4	P	MgCl	t4	7.245
485	P_MgCl_t4	P	MgCl	t4	8.419
486	P_MgCl_t4	P	MgCl	t4	7.742
487	P_MgCl_t4	P	MgCl	t4	6.163
488	P_MgCl_t4	P	MgCl	t4	9.466
489	P_MgCl_t4	P	MgCl	t4	8.769
490	P_MgCl_t4	P	MgCl	t4	8.61
491	P_MgCl_t4	P	MgCl	t4	7.154
492	P_MgCl_t4	P	MgCl	t4	NA
493	P_MgCl_t4	P	MgCl	t4	NA
494	P_MgCl_t4	P	MgCl	t4	NA
495	P_MgCl_t4	P	MgCl	t4	NA
496	P_MgCl_t4	P	MgCl	t4	NA
497	P_MgCl_t4	P	MgCl	t4	NA
498	P_MgCl_t4	P	MgCl	t4	NA
499	P_MgCl_t4	P	MgCl	t4	NA
500	P_MgCl_t4	P	MgCl	t4	NA
501	noP_MgCl_t4	noP	MgCl	t4	4.769
502	noP_MgCl_t4	noP	MgCl	t4	4.566
503	noP_MgCl_t4	noP	MgCl	t4	7.044
504	noP_MgCl_t4	noP	MgCl	t4	4.988
505	noP_MgCl_t4	noP	MgCl	t4	5.266
506	noP_MgCl_t4	noP	MgCl	t4	5.437
507	noP_MgCl_t4	noP	MgCl	t4	5.649
508	noP_MgCl_t4	noP	MgCl	t4	6.099
509	noP_MgCl_t4	noP	MgCl	t4	6.333
510	noP_MgCl_t4	noP	MgCl	t4	6.368
511	noP_MgCl_t4	noP	MgCl	t4	3.765
512	noP_MgCl_t4	noP	MgCl	t4	7.648
513	noP_MgCl_t4	noP	MgCl	t4	6.798
514	noP_MgCl_t4	noP	MgCl	t4	5.994
515	noP_MgCl_t4	noP	MgCl	t4	NA
516	noP_MgCl_t4	noP	MgCl	t4	NA
517	noP_MgCl_t4	noP	MgCl	t4	NA
518	noP_MgCl_t4	noP	MgCl	t4	NA
519	noP_MgCl_t4	noP	MgCl	t4	NA
520	noP_MgCl_t4	noP	MgCl	t4	NA
521	P_350_t4	P	350	t4	8.499
522	P_350_t4	P	350	t4	7.294
523	P_350_t4	P	350	t4	9.705
524	P_350_t4	P	350	t4	9.997
525	P_350_t4	P	350	t4	9.159
526	P_350_t4	P	350	t4	6.917
527	P_350_t4	P	350	t4	9.852
528	P_350_t4	P	350	t4	10.88
529	P_350_t4	P	350	t4	9.201
530	P_350_t4	P	350	t4	9.574
531	P_350_t4	P	350	t4	10.867
532	P_350_t4	P	350	t4	10.708
533	P_350_t4	P	350	t4	NA
534	P_350_t4	P	350	t4	NA
535	P_350_t4	P	350	t4	NA
536	P_350_t4	P	350	t4	NA
537	P_350_t4	P	350	t4	NA
538	P_350_t4	P	350	t4	NA
539	P_350_t4	P	350	t4	NA
540	P_350_t4	P	350	t4	NA
541	noP_350_t4	noP	350	t4	5.734
542	noP_350_t4	noP	350	t4	6.164
543	noP_350_t4	noP	350	t4	7.92
544	noP_350_t4	noP	350	t4	6.541
545	noP_350_t4	noP	350	t4	6.441
546	noP_350_t4	noP	350	t4	7.513
547	noP_350_t4	noP	350	t4	5.896
548	noP_350_t4	noP	350	t4	7.696
549	noP_350_t4	noP	350	t4	5.58
550	noP_350_t4	noP	350	t4	NA
551	noP_350_t4	noP	350	t4	NA
552	noP_350_t4	noP	350	t4	NA
553	noP_350_t4	noP	350	t4	NA
554	noP_350_t4	noP	350	t4	NA
555	noP_350_t4	noP	350	t4	NA
556	noP_350_t4	noP	350	t4	NA
557	noP_350_t4	noP	350	t4	NA
558	noP_350_t4	noP	350	t4	NA
559	noP_350_t4	noP	350	t4	NA
560	noP_350_t4	noP	350	t4	NA
561	noP_350_t5	noP	350	t5	9.334902439
562	noP_350_t5	noP	350	t5	8.703707317
563	noP_350_t5	noP	350	t5	8.838373984
564	noP_350_t5	noP	350	t5	6.43895935
565	noP_350_t5	noP	350	t5	7.885772358
566	noP_350_t5	noP	350	t5	9.436785714
567	noP_350_t5	noP	350	t5	8.792293651
568	noP_350_t5	noP	350	t5	9.088357143
569	noP_350_t5	noP	350	t5	6.271626984
570	noP_350_t5	noP	350	t5	7.211944444
571	noP_350_t5	noP	350	t5	8.781166667
572	noP_350_t5	noP	350	t5	9.326468254
573	noP_350_t5	noP	350	t5	6.65765873
574	noP_350_t5	noP	350	t5	NA
575	noP_350_t5	noP	350	t5	NA
576	noP_350_t5	noP	350	t5	9.507481481
577	noP_350_t5	noP	350	t5	9.208348148
578	noP_350_t5	noP	350	t5	8.223933333
579	noP_350_t5	noP	350	t5	8.221288889
580	noP_350_t5	noP	350	t5	8.699911111
581	noP_350_t5	noP	350	t5	8.758094203
582	noP_350_t5	noP	350	t5	8.081108696
583	noP_350_t5	noP	350	t5	9.556550725
584	noP_350_t5	noP	350	t5	9.313152174
585	noP_350_t5	noP	350	t5	10.56273913
